"%s days","%s Tage"
"-- Remove Coupon --","-- Remove Coupon --"
"-- Select Coupon --","-- Select Coupon --"
"Account Information","Account Information"
"Action","Action"
"Action is blocked in quote confirmation mode","Aktion ist blokkiert in Anfrage Bestätigung Status"
"Add","Add"
"Add Qty","Menge"
"Add Selected Product(s) to Advanced Quote","Add Selected Product(s) to Quote Request"
"Add new Qty","Neue Menge eingeben"
"Address","Adresse"
"Add to Cart","In den Warenkorb"
"Add to Quote","zur Preisanfrage hinzufügen"
"Adjustment Quote (%s)","Adjustment Quote (%s)"
"All items were moved to cart successfully.","Alle Produkte wurden erfolgreich in den Warenkorb gelegt"
"Are you sure?","Sind Sie sicher?"
"Assigned To","Sachbearbeiter"
"Back to My Quotes","Zurück zu meinen Anfragen"
"Be advised to enter your comments","<strong>ACHTUNG:</strong> Bemerkungen usw. werden gelöscht wenn Sie diese Seite verlassen, ohne die Preisanfrage abzusenden. Wenn Sie ein Account haben können Sie sich jetzt anmelden."
"Billing address wasn't added","Rechnungsadresse ist nicht hinzugefügt"
"Billing details","Adressdaten"
"By deleting an item, you will create a new quote request. Do you want to do this?","Ein Produkt eliminieren macht ein neue Preis Anfrage. Wollen Sie das?"
"Can't remove item","Kann Produkt nicht löschen"
"Can't update quote list","Kann Preisanfrage nicht aktualisieren"
"Cancel","Stornieren"
"Cancel Quote","Angebot löschen"
"Can not add client note request to the product.","Kann Bemerkung nicht hinzufügen an Produkt."
"Can not add customer address.","Kann Adresse nicht hinzufügen."
"Can not add one of the items to quote request.","Kann ein dieser Produkten nicht hinzufügen an Preisanfrage."
"Cannot configure product.","Cannot configure product."
"Cannot update the item.","Cannot update the item."
"Change status","Change status"
"Change to Quotation mode?","Umschalten nach Anfragemodus?"
"Checking..","Kontrollieren..."
"City","Ort"
"Comment with Product","Anmerkung zum Produkt"
"Company","Firma"
"Confirm and CheckOut","Bestätigen und weiter gehen"
"Continue","Weitergehen"
"Continue Shopping","Den Einkauf fortsetzen"
"Copy to Quotation","Zur Angebotsanfrage hinzufügen"
"Copy to Quotation?","Zur Angebotsanfrage hinzufügen"
"Cost Price","Einkaufspreis"
"Could not load Coupon Code","Could not load Coupon Code"
"Country","Land"
"Create New Quote","neue Preisanfrage anlegen"
"Create Order","Create Order"
"Created On","Created On"
"Customer's email was undefined","Customer's email was undefined"
"Customer Group","Kundengruppe"
"Customer Name","Kundenname"
"Customer email already exists. You should login <a href=%s>here</a>","Diese E-Mail Adresse besteht schon bei uns. Bitte <a href=%s">hier einloggen</a>""
"Customer not recognized for new quote","Customer not recognized for new quote"
"Date","Datum"
"Date of Proposal","Angebotsdatum"
"Delete","Delete"
"Discount (%s)","Discount (%s)"
"Do you have a general remark with your quote request?","Haben Sie eine Anmerkung zu dieser Anfrage?"
"Duplicate value entered","Duplicate value entered"
"Edit","bearbeiten"
"Edit Quote","Anfrage bearbeiten"
"Edit Request","Anfrage bearbeiten"
"Email","Email"
"Email Address","E-mail Adresse"
"Email already exists","Diese E-Mail Adresse besteht schon"
"Email was sent to client","Email was sent to client"
"Enter custom price excluding tax","Bitte individuellen Preis ohne MwSt. eingeben"
"Enter your billing address details.","Bitte geben Sie Ihre Adressdaten an."
"Enter your destination to receive a shipping quotation. Unless otherwise specified, standard shipping is quoted.","Bitte geben Sie Ihre Versandadresse an, damit wir die Versandkosten im Angebot berücksichtigen können."
"Expiry Date","gültig bis:"
"File","Datei"
"File Upload","Datei anfügen"
"First Name","Vorname"
"First save this Quotation","First save this Quotation"
"Fixed Price Per Order","Preis pro Bestellung"
"Fixed Shipping & Handling price","Feststehende Versand- und Bearbeitungskosten"
"For front-end visibility of this module please switch Use Cart2Quote templates to Yes or adjust your custom theme files.","For front-end visibility of this module please switch 'Use Cart2Quote templates' to 'Yes' or adjust your custom theme files."
"General Comment","Anmerkung:"
"Item %s wasn't moved to Shopping cart","Produkt %s ist wurde nicht in den Warenkorb gelegt"
"Item %s wasn't removed from Quote mode","Produkt %s is nicht eliminiert von Preis Anfrage"
"Item(s) were moved from Quote to Order mode successfully.","Produkt(e) erfolgreich von der Preisanfrage in den Warenkorb verschoben"
"Item Manager","Item Manager"
"Items Manager","Items Manager"
"Items Quoted","angefragte Produkte"
"Item was deleted successfully.","Produkt ist erfolgreich eliminiert."
"Item was moved to cart successfully.","Das Produkt wurde erfolgreich in den Warenkorb gelegt."
"Item was moved to quote successfully.","Das Produkt wurde erfolgreich in die Preisanfrage verschoben"
"Last Name","Familienname"
"Margin (GP)","Rabatt"
"Minimum of one Qty is required","Minimum of one Qty is required"
"Move to Shopping cart","In den Warenkorb verschieben"
"My Quote","Meine Preisanfrage"
"My Quote (%s item)","Meine Preisanfrage (%s Artikel)"
"My Quote (%s items)","Meine Preisanfrage (%s Artikel)"
"My Quotes","Meine Preisanfragen"
"No Items to display.","Keine Produkte vorhanden."
"No item in quote.","Keine Produkte in der Preisanfrage."
"Notes with Product:","Anmerkungen zum Produkt:"
"Original Price","Normaler Preis<br />zzgl. MwSt."
"Per Item","Preis pro Artikel"
"Please select required qty and check out online to see applicable price.","Die kalkulierten Versandkosten können Sie unserem Angebot entnehmen."
"Please specify product quantity.","Hier gewünschte Menge eintragen."
"Price","Preis"
"Price Proposal","Angebotspreis"
"Price_proposal_%s","Angebot_%s"
"Product","Produkt"
"Product %s successfully added to Quote Request","Produkt %s wurde erfolgreich zur Preisanfrage hinzugefügt"
"Product Information","Produktinformation"
"Product Name","Produktname"
"Product name","Produktname"
"Proposal Valid Until: %s","Angebot besteht bis: "
"Proposal valid until","Angebot besteht bis"
"QTY","Menge"
"Qquote cancel email was't sent to admin for quote #%s","Anfrage-annulieren E-Mail ist nicht nach Shophouse versand für Anfrage #%s"
"Qquote proposal email was't sent to the client for quote #%s","Die Angebots E-Mail wurde nicht an den Kunden versand für Anfrage #%s"
"Qquote request email was't sent to admin for quote #%s","Preis Anfrage E-Mail ist nicht nach Shophouse versand für Anfrage #%s"
"Qty","Menge"
"Quotation #%s - Proposal","Preisanfrage Nr.: %s"
"Quotation #%s was rejected","Angebot #%s ist abgelehnt"
"Quotation Date: %s","Datum der Preisanfrage: %s"
"Quotations","Preisanfragen"
"Quote","Preisanfrage"
"Quote #","Preisanfrage Nr.: "
"Quote # %s | Quote Date %s","Preisanfrage Nr.: %s vom %s"
"Quote Proposal","Angebotsnummer"
"Quote Request in Process, wait for price proposal Shop owner","Preisanfrage in Bearbeitung, in Kürze erhalten Sie unser Angebot"
"Quote Status","Status der Preisanfrage"
"Quote item is not found.","Quote item is not found."
"Quote list was updated successfully.","Anfrage Liste ist erfolgreich aktualisiert."
"Quote profit","Quote profit"
"Quote request","Preisanfrage"
"Quote status","Status der Preisanfrage"
"Quote subtotal (%s)","Quote subtotal (%s)"
"Quote view","Preisanfrage ansehen"
"Quote was saved with errors","Fehler beim Speichern der Anfrage"
"Quote was successfully canceled","Quote Request was successfully canceled"
"Quote was successfully saved","Die Preisanfrage wurde erfolgreich gespeichert"
"RFQ From","Preisanfrage von"
"Reject Proposal","Angebot ablehnen"
"Remarks","Bemerkungen"
"Remark with Proposal","Bemerkungen zum Angebot"
"Reminder Date","Erinnerung am:"
"Remove","löschen"
"Remove item","Produkt löschen"
"Request a shipping quote","Versandkosten anfordern"
"Requested information","Bemerkungen"
"Request for Quote","Preisanfrage"
"Request information","Anmerkungen zum Produkt"
"Request quote","Preisanfrage Senden"
"Resubmit Quote","Anfrage erneut senden"
"SKU","Art.-Nr."
"STATUS_AUTO_PROPOSAL","Angebot geschickt"
"STATUS_BEGIN","Angefangen"
"STATUS_CANCELED","Angebot annuliert"
"STATUS_CONFIRMED","Angebot akzeptiert"
"STATUS_DENIED","Angebot abgelehnt"
"STATUS_PROPOSAL","Angebot geschickt"
"STATUS_PROPOSAL_BEGIN","Proposal created, not sent"
"STATUS_PROPOSAL_EXPIRED","Angebot abgelaufen"
"STATUS_PROPOSAL_SAVED","Angebot gespeichert"
"STATUS_REQUEST","Verarbeitung"
"STATUS_REQUEST_EXPIRED","Anfrage abgelaufen"
"Save Quote","Angebot speichern"
"Select Qty","Status"
"Select in Checkout","nicht definiert"
"Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)","Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)"
"Shipping & Handling price per Item","Shipping & Handling price per Item"
"Shipping & Handling price varies.","Versand- und Bearbeitungskosten sind abhängig von Art und Anzahl der Artikel."
"Shipping Address","Versandadresse"
"Shipping Address is same as Billing Address","Diese Adresse auch als Versandadresse nutzen."
"Shipping Method","Versandmethode"
"Shipping details","Versanddaten"
"Sku","Art.-Nr."
"State/Province","Bundesland"
"Status","Status"
"Submit Quote","Angebot absenden"
"Subtotal","Zwischensumme"
"Subtotal Original (%s)","Subtotal Original (%s)"
"Tax","MwSt."
"Telephone","Telefon"
"Thank you for your interest!","Vielen Dank für Ihr Interesse!"
"The Cart2Quote template files are disabled.","The Cart2Quote template files are disabled."
"The following item will not be added to the quotation list if you continue:","Wenn Sie fortfahren werden folgenden Produkte zur Angebotsanfrage hinzugefügt:"
"This item will be removed from the list if you continue:","Dieses Produkt wird von der Liste gelöscht wenn Sie fortfahren:"
"This order list contains items that cannot quoted.","In Ihrem Einkaufswagen befinden sich Produkte für die eine Preisanfrage nicht möglich ist."
"This quote list contains items that cannot ordered.","This quote list contains items that cannot ordered."
"Tier/Qty","Menge"
"Title","Titel"
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Wann Sie ein Preisaufgabe empfangen wollen dann sollen Sie bitte <a href='%s'>ausloggen</a> aus die Anfrage-Bestätgigung Status."
"Unable to find item to save","Unable to find item to save"
"Unit price","Stückpreis"
"Url","Url"
"Use Store Settings","Einstellung des Shops verwenden"
"View","View"
"View Quote","Anfrage ansehen"
"You're welcome to place a new Request for Quote","You're welcome to place a new Request"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Sie können jetzt ein Anfrage bestätigen, <a href='%s'>ausloggen</a>."
"You have no items in your quote.","Sie haben keine Artikel in Ihrer Preisanfrage."
"You have placed no quotes.","Sie haben keine Preisanfragen."
"You log out successfully from Quote confirmation mode.","Erfolgreich abgemeldet aus Preisanfrage bestätigungs Umgebung."
"Your quote request # is: %s.","Ihre Preisanfrage hat die Nr.: %s."
"Your quote request has been received","Wir haben Ihre Preisanfrage empfangen"
"You will receive a quote confirmation email with a link to track progress.","Sie erhalten eine Bestätigungs-Mail. Mit dem Link in dieser Mail können Sie den Status Ihrer Anfrage einsehen."
"Zip/Postal Code","Postleitzahl"
"in process...","in Bearb..."