store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,kitnekaa_product_code,csb_diameter_in_mm,csb_bore_diameter_in_mm,csb_coating,csb_pin_hole,csb_no_of_edges,csb_kerf_thickness,csb_plate_thickness,csb_hook_angle_degrees,csb_types_of_grind,price_currency,manufacturer_product_code,country_of_origin,condition,minimum_order_quantity,minimum_order_unit,brand,tools_construction,tools_tip_material,kitnekaa_manufacturer,seller,csb_material_to_cut,csb_application,price,special_price,weight,msrp,color,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Circular Saw Blades,simple,90,240.020.06M,0,Grooving Saw Blade D150X2XZ12 ,,,240-020-06m,240-020-06m.html,,No layout updates,Product Info Column,,, ,Use config,Use config,No,195,150,30,No coating,,12,2,1.4,15,FLAT,INR,240.020.06M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Plastic","Chamfering , Grooving",2730.6,2730.6,0.25,,,Enabled,No,"Catalog, Search",None,Grooving Saw Blade D=150X2X30 Z=12 FLAT,Grooving Saw Blade D=150X2X30 Z=12 FLAT,,,9/3/2015 0:00,,9/9/2015 0:00,9/24/2015 0:00,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Grooving Saw Blade D150X2XZ12 ,0,simple,,
admin,base,Circular Saw Blades,simple,90,271.300.48M,0,ITK Plus Rip and Crosscut Saw Blade 300XZ48 ,,,271-300-48m,271-300-48m.html,,,Product Info Column,,,,Use config,Use config,,2,300,30,Orange PTFE coated,COMBI3,48,2.6,1.8,18,10 ATB + 8 SHEAR,INR,271.300.48M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Plywood , Softwood , Solidwood","Crosscutting , Ripping",5994,5994,1.5,,,Enabled,,"Catalog, Search",None,ITK Plus Rip and Crosscut Saw Blade HW 300X2.6X30 Z=48  ATB+SHEAR,ITK Plus Rip and Crosscut Saw Blade HW 300X2.6X30 Z=48  ATB+SHEAR,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,ITK Plus Rip and Crosscut Saw Blade 300XZ48 ,0,simple,,
admin,base,Circular Saw Blades,simple,90,278.028.12M,0,Multi-Rip With Limitors 30XZ28,,,278-028-12m,278-028-12m.html,,,Product Info Column,,,,Use config,Use config,,2,300,30,No coating,COMBI3 ,28,3.2,2.2,18,10 ATB,INR,278.028.12M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Drywood , Hardwood , Softwood",Multi Ripping,6593.4,6593.4,1.25,,,Enabled,,"Catalog, Search",None,Multi-Rip With Limitors 300X3.2/2.2X30 Z28 ATB,Multi-Rip With Limitors 300X3.2/2.2X30 Z28 ATB,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Multi-Rip With Limitors 30XZ28,0,simple,,
admin,base,Circular Saw Blades,simple,90,278.036.14M,0,Multi-Rip With Limitors 30XZ36,,,278-036-14m,278-036-14m.html,,,Product Info Column,,,,Use config,Use config,,2,350,30,No coating,COMBI3 ,36,3.5,2.5,18,10 ATB,INR,278.036.14M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Drywood , Hardwood , Softwood",Multi Ripping,8469.3,8469.3,2,,,Enabled,,"Catalog, Search",None,Multi-Rip With Limitors 350X3.5/2.5X30 Z36 ATB,Multi-Rip With Limitors 350X3.5/2.5X30 Z36 ATB,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Multi-Rip With Limitors 30XZ36,0,simple,,
admin,base,Circular Saw Blades,simple,90,281.072.12M,0,Laminate-Chipboard Saw Blade D300XZ72,,,281-072-12m,281-072-12m.html,,,Product Info Column,,,,Use config,Use config,,2,300,30,No coating,COMBI3,72,3.2,2.2,10,TCG,INR,281.072.12M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Melamine , Plywood","Fine Cutoff , Panel Sizing",8924.4,8924.4,1.5,,,Enabled,,"Catalog, Search",None,Laminate-Chipboard Saw Blade300X3.2X30 Z72 10HWG,Laminate-Chipboard Saw Blade300X3.2X30 Z72 10HWG,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Laminate-Chipboard Saw Blade D300XZ72,0,simple,,
admin,base,Circular Saw Blades,simple,90,281.080.10M,0,Laminate-Chipboard Saw Blade D250XZ80,,,281-080-10m,281-080-10m.html,,,Product Info Column,,,,Use config,Use config,,2,250,30,No coating,COMBI3,80,3.2,2.2,10,TCG,INR,281.080.10M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Melamine , Plywood","Fine Cutoff , Panel Sizing",9557.1,9557.1,1,,,Enabled,,"Catalog, Search",None,Laminate-Chipboard Saw Blade 250X3.2/2.2X30 Z80 10HWG,Laminate-Chipboard Saw Blade 250X3.2/2.2X30 Z80 10HWG,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Laminate-Chipboard Saw Blade D250XZ80,0,simple,,
admin,base,Circular Saw Blades,simple,90,281.096.12M,0,Laminate-Chipboard Saw Blade D300XZ96,,,281-096-12m,281-096-12m.html,,,Product Info Column,,,,Use config,Use config,,2,300,30,No coating,COMBI3,96,3.2,2.2,10,TCG,INR,281.096.12M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Melamine , Plywood","Fine Cutoff , Panel Sizing",11322,11322,1.5,,,Enabled,,"Catalog, Search",None,Laminate-Chipboard Saw Blade300X3.2X30 Z96 10HWG,Laminate-Chipboard Saw Blade300X3.2X30 Z96 10HWG,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Laminate-Chipboard Saw Blade D300XZ96,0,simple,,
admin,base,Circular Saw Blades,simple,90,281.672.12M,0,Saw Blade HW 300XZ72,,,281-672-12m,281-672-12m.html,,,Product Info Column,,,,Use config,Use config,,2,300,30,No coating,COMBI3,72,3.2,2.2,10,TCG,INR,281.672.12M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Melamine , Plywood","Fine Cutoff , Panel Sizing",11577.3,11577.3,1.35,,,Enabled,,"Catalog, Search",None,Saw Blade HW 300x3.2/2.2x30 Z72 10HWG (CHROME),Saw Blade HW 300x3.2/2.2x30 Z72 10HWG (CHROME),,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Saw Blade HW 300XZ72,0,simple,,
admin,base,Circular Saw Blades,simple,90,281.680.10M,0,Saw Blade HW 250XZ80,,,281-680-10m,281-680-10m.html,,,Product Info Column,,,,Use config,Use config,,2,250,30,No coating,COMBI3,80,3.2,2.2,5,TCG,INR,281.680.10M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Chipboard , Melamine","Fine Cutoff , Panel Sizing",11788.2,11788.2,0.95,,,Enabled,,"Catalog, Search",None,Saw Blade HW 250x3.2/2.2x30 Z80 5HWG (CHROME),Saw Blade HW 250x3.2/2.2x30 Z80 5HWG (CHROME),,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Saw Blade HW 250XZ80,0,simple,,
admin,base,Circular Saw Blades,simple,90,281.696.12M,0,Saw Blade HW 300XZ96,,,281-696-12m,281-696-12m.html,,,Product Info Column,,,,Use config,Use config,,2,300,30,No coating,COMBI3,96,3.2,2.2,5,TCG,INR,281.696.12M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Chipboard , Melamine","Fine Cutoff , Panel Sizing",14185.8,14185.8,1.37,,,Enabled,,"Catalog, Search",None,Saw Blade HW 300x3.2/2.2x30 Z96 5HWG (CHROME),Saw Blade HW 300x3.2/2.2x30 Z96 5HWG (CHROME),,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Saw Blade HW 300XZ96,0,simple,,
admin,base,Circular Saw Blades,simple,90,282.072.14M,0,Laminate-Chipboard Saw Blade 350X30XZ72,,,282-072-14m,282-072-14m.html,,,Product Info Column,,,,Use config,Use config,,2,350,30,No coating,COMBI3,72,4.4,3.2,16,TCG,INR,282.072.14M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"MDF , Melamine","Multiple Panel Sizing , Panel Sizing",18648,18648,2.2,,,Enabled,,"Catalog, Search",None,Laminate-Chipboard Saw Blade350X4.4X30 Z72 16HWG,Laminate-Chipboard Saw Blade350X4.4X30 Z72 16HWG,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Laminate-Chipboard Saw Blade 350X30XZ72,0,simple,,
admin,base,Circular Saw Blades,simple,90,284.092.14P,0,Non-Metal/Plastic Saw Blade 350XZ92,,,284-092-14p,284-092-14p.html,,,Product Info Column,,,,Use config,Use config,,2,350,32,No coating,2/12/1964,92,3.2,2.5,5,TCG,INR,284.092.14P,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Aluminium , Brass , Copper Alloys , Plastic Laminated Panels","Cutting Hollow Tubes , Cutting Solid Blocks",12187.8,12187.8,2.16,,,Enabled,,"Catalog, Search",None,Non-Metal/Plastic Saw Blade 350X3.5X32   Z=92   5'HWG,Non-Metal/Plastic Saw Blade 350X3.5X32   Z=92   5'HWG,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Non-Metal/Plastic Saw Blade 350XZ92,0,simple,,
admin,base,Circular Saw Blades,simple,90,284.096.12P,0,Non-Metal/Plastic Saw Blade 300XZ96,,,284-096-12p,284-096-12p.html,,,Product Info Column,,,,Use config,Use config,,2,300,32,No coating,2/12/1964,96,3.2,2.5,5,TCG,INR,284.096.12P,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Aluminium , Brass , Copper Alloys , Plastic Laminated Panels","Cutting Hollow Tubes , Cutting Solid Blocks",11322,11322,1.53,,,Enabled,,"Catalog, Search",None,Non-Metal/Plastic Saw Blade 300X3.2X32 Z=96 5'HWG,Non-Metal/Plastic Saw Blade 300X3.2X32 Z=96 5'HWG,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Non-Metal/Plastic Saw Blade 300XZ96,0,simple,,
admin,base,Circular Saw Blades,simple,90,285.040.10M,0,Ripping-Crosscut Saw Blade250X30XZ40,,,285-040-10m,285-040-10m.html,,,Product Info Column,,,,Use config,Use config,,2,250,30,No coating,COMBI3,40,3.2,2.2,15,10 ATB,INR,285.040.10M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Plywood , Softwood","Crosscutting , Ripping",5760.9,5760.9,0.97,,,Enabled,,"Catalog, Search",None,Ripping-Crosscut Saw Blade250X3.2X30 Z40 10ATB,Ripping-Crosscut Saw Blade250X3.2X30 Z40 10ATB,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Ripping-Crosscut Saw Blade250X30XZ40,0,simple,,
admin,base,Circular Saw Blades,simple,90,285.048.10M,0,Ripping-Crosscut Saw Blade250XZ48,,,285-048-10m,285-048-10m.html,,,Product Info Column,,,,Use config,Use config,,2,250,30,No coating,COMBI3,48,3.2,2.2,15,10 ATB,INR,285.048.10M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Plywood , Softwood","Crosscutting , Ripping",6404.7,6404.7,0.97,,,Enabled,,"Catalog, Search",None,Ripping-Crosscut Saw Blade250X3.2X30 Z48 10ATB,Ripping-Crosscut Saw Blade250X3.2X30 Z48 10ATB,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Ripping-Crosscut Saw Blade250XZ48,0,simple,,
admin,base,Circular Saw Blades,simple,90,285.054.14M,0,Ripping-Crosscut Saw Blade350X30XZ54,,,285-054-14m,285-054-14m.html,,,Product Info Column,,,,Use config,Use config,,2,350,30,No coating,COMBI3,54,3.5,2.5,15,10 ATB,INR,285.054.14M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Plywood , Softwood","Crosscutting , Ripping",9257.4,9257.4,2.2,,,Enabled,,"Catalog, Search",None,Ripping-Crosscut Saw Blade350X3.5X30 Z54 10ATB,Ripping-Crosscut Saw Blade350X3.5X30 Z54 10ATB,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Ripping-Crosscut Saw Blade350X30XZ54,0,simple,,
admin,base,Circular Saw Blades,simple,90,285.060.12M,0,Ripping-Crosscut Saw Blade300XZ60,,,285-060-12m,285-060-12m.html,,,Product Info Column,,,,Use config,Use config,,2,300,30,No coating,COMBI3,60,3.2,2.2,15,10 ATB,INR,285.060.12M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Plywood , Softwood","Crosscutting , Ripping",8580.3,8580.3,1.54,,,Enabled,,"Catalog, Search",None,Ripping-Crosscut Saw Blade300X3.2X30 Z60 10ATB,Ripping-Crosscut Saw Blade300X3.2X30 Z60 10ATB,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Ripping-Crosscut Saw Blade300XZ60,0,simple,,
admin,base,Circular Saw Blades,simple,90,285.072.12M,0,Finishing Saw Blade 300X30XZ72 ,,,285-072-12m,285-072-12m.html,,,Product Info Column,,,,Use config,Use config,,2,300,30,No coating,COMBI3,72,3.2,2.2,10,15 ATB,INR,285.072.12M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Plywood , Softwood","Crosscutting , Ripping",8913.3,8913.3,1.54,,,Enabled,,"Catalog, Search",None,Finishing Saw Blade 300X3.2X30 Z72 15ATB,Finishing Saw Blade 300X3.2X30 Z72 15ATB,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Finishing Saw Blade 300X30XZ72 ,0,simple,,
