store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,thumbnail,url_key,url_path,options_container,image_label,small_image_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,kitnekaa_product_code,manufacturer_product_code,tools_construction,tools_tip_material,kitnekaa_manufacturer,seller,rbi_material_to_cut,rbi_coating,rbi_machine,rbi_inner_diameter_in_mm,rbi_radius_in_mm,rbi_diameter_in_mm,rbi_height_of_cut_in_mm,rbi_cutting_depth_in_mm,rbi_angle_in_degrees,rbi_length_in_mm,rbi_diameter_of_shank_in_mm,rbi_rotation,rbi_application,price,special_price,weight,msrp,status,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,page_layout,gift_message_available,is_recurring,website,_media_image,_media_lable,_media_position,_media_is_disabled
admin,base,Router Bits,simple,101,174.030.11,0,Solid Carbide Router Cutters,,,,174-030-11,174-030-11.html,Product Info Column,,,Italy,Use config,Use config,,174.030.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Solidwood",No Coating,CNC Machine,,,3,10,,,55,8,RH,"Drilling, Grooving, Jointing",2897.1,2897.1,0.04,,Enabled,"Catalog, Search",None,1. Premium quality HWM.</br> 2. 2 Radial relief cutting edges [Z2].,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Solid Carbide Router Cutters,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,174.040.11,0,Solid Carbide Router Cutters,,,,174-040-11,174-040-11.html,Product Info Column,,,Italy,Use config,Use config,,174.040.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Solidwood",No Coating,CNC Machine,,,4,10,,,55,8,RH,"Drilling, Grooving, Jointing",2897.1,2897.1,0.04,,Enabled,"Catalog, Search",None,1. Premium quality HWM.</br> 2. 2 Radial relief cutting edges [Z2].,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Solid Carbide Router Cutters,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,174.081.11,0,Straight Bits With Centre Tip,,,,174-081-11,174-081-11.html,Product Info Column,,,Italy,Use config,Use config,,174.081.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Solidwood",PTFE Coated,CNC Machine,,,8,20,,,70,8,RH,"Drilling, Grooving, Jointing",3230.1,3230.1,0.07,,Enabled,"Catalog, Search",None,1. Super strength steel.</br> 2. 2 Precision ground HW cutting edges & 1 HW plunge centre tip [Z2+1].,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Bits With Centre Tip,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,179.080.50,0,Reciprocating Slot Mortising Bits,,,,179-080-50,179-080-50.html,Product Info Column,,,Italy,Use config,Use config,,179.080.50,Steel,High Speed Steel,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Softwood",No Coating,CNC Machine,,,8,50,,,95,13,RH/LH,Cutting Mortise Slots ,3207.9,3207.9,0.07,,Enabled,"Catalog, Search",None,1. Long-lasting cutter performance.</br> 2. 2 HS precision ground cutting edges [Z2].,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Reciprocating Slot Mortising Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,191.800.11,0,Solid Carbide Upcut Spiral Bits,,,,191-800-11,191-800-11.html,Product Info Column,,,Italy,Use config,Use config,,191.800.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Laminated Panels , MDF , Plastic , Plywood , Softwood",No Coating,"CNC Machine , Portable Router",,,10,32,,,80,8,RH,"Ripping, Template Routing, Panel Sizing ",9712.5,9712.5,0.06,,Enabled,"Catalog, Search",None,1. Premium Quality HWM.</br> 2. 2 Spiral Cutting Edges [Z2].</br> 3. Provide An Excellent Finish On The Lower Side Of The Workpiece.</br> 4. Upward Chip Ejection.,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Solid Carbide Upcut Spiral Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,191.060.11,0,Solid Carbide Upcut Spiral Bits,,,,191-060-11,191-060-11.html,Product Info Column,,,Italy,Use config,Use config,,191.060.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Laminated Panels , MDF , Plastic , Plywood , Softwood",No Coating,"CNC Machine , Portable Router",,,6,27,,,70,6,RH,"Ripping, Template Routing, Panel Sizing",3951.6,3951.6,0.02,,Enabled,"Catalog, Search",None,1. Premium Quality HWM.</br> 2. 2 Spiral Cutting Edges [Z2].</br> 3. Provide An Excellent Finish On The Lower Side Of The Workpiece.</br> 4. Upward Chip Ejection.,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Solid Carbide Upcut Spiral Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,191.101.11,0,Solid Carbide Upcut Spiral Bits,,,,191-101-11,191-101-11.html,Product Info Column,,,Italy,Use config,Use config,,191.101.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Laminated Panels , MDF , Plastic , Plywood , Softwood",No Coating,"CNC Machine , Portable Router",,,10,42,,,90,10,RH,"Ripping, Template Routing, Panel Sizing ",9135.3,9135.3,0.1,,Enabled,"Catalog, Search",None,1. Premium Quality HWM.</br> 2. 2 Spiral Cutting Edges [Z2].</br> 3. Provide An Excellent Finish On The Lower Side Of The Workpiece.</br> 4. Upward Chip Ejection.,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Solid Carbide Upcut Spiral Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,191.122.11,0,Solid Carbide Upcut Spiral Bits,,,,191-122-11,191-122-11.html,Product Info Column,,,Italy,Use config,Use config,,191.122.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Laminated Panels , MDF , Plastic , Plywood , Softwood",No Coating,"CNC Machine , Portable Router",,,12,52,,,100,12,RH,"Ripping, Template Routing, Panel Sizing ",12654,12654,0.14,,Enabled,"Catalog, Search",None,1. Premium Quality HWM.</br> 2. 2 Spiral Cutting Edges [Z2].</br> 3. Provide An Excellent Finish On The Lower Side Of The Workpiece.</br> 4. Upward Chip Ejection.,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Solid Carbide Upcut Spiral Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,191.640.11,0,Solid Carbide Upcut Spiral Bits,,,,191-640-11,191-640-11.html,Product Info Column,,,Italy,Use config,Use config,,191.640.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Laminated Panels , MDF , Plastic , Plywood , Softwood",No Coating,"CNC Machine , Portable Router",,,4,15,,,60,6,RH,"Ripping, Template Routing, Panel Sizing",3762.9,3762.9,0.02,,Enabled,"Catalog, Search",None,1. Premium Quality HWM.</br> 2. 2 Spiral Cutting Edges [Z2].</br> 3. Provide An Excellent Finish On The Lower Side Of The Workpiece.</br> 4. Upward Chip Ejection.,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Solid Carbide Upcut Spiral Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,193.120.11,0,Solid Carbide Upcut Spiral Bits,,,,193-120-11,193-120-11.html,Product Info Column,,,Italy,Use config,Use config,,193.120.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Solidwood",No Coating,"CNC Machine , Portable Router",,,12,35,,,83,12,RH,"Ripping, Template Routing, Panel Sizing ",11421.9,11421.9,0.11,,Enabled,"Catalog, Search",None,1. Premium Quality HWM.</br> 2. 2 Spiral Cutting Edges [Z2].</br> 3. Provide An Excellent Finish On The Lower Side Of The Workpiece.</br> 4. Upward Chip Ejection.,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Solid Carbide Upcut Spiral Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,195.081.11,0,Solid Carbide Upcut Spiral Bits With Chip-Breaker,,,,195-081-11,195-081-11.html,Product Info Column,,,Italy,Use config,Use config,,195.081.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Solidwood",No Coating,"CNC Machine , Portable Router",,,8,32,,,80,8,RH,"Ripping, Template Routing, Panel Sizing ",6182.7,6182.7,0.04,,Enabled,"Catalog, Search",None,1. Premium Quality HWM.</br> 2. 3 Spiral Cutting Edges [Z3R].</br> 3. Chip Breaker Teeth.</br> 4. Max 0.3mm Tooth Depth.</br> 5. Provide Excellent Finish On The Upper Side Of The Workpiece.</br> 6. Downward Chip Ejection.,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Solid Carbide Upcut Spiral Bits With Chip-Breaker,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,198.001.11,0,Solid Carbide Spiral Upcut  Bits,,,,198-001-11,198-001-11.html,Product Info Column,,,Italy,Use config,Use config,,198.001.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Laminated Panels , Plastic , Solidwood",No Coating,"CNC Machine , Portable Router",,,3.18,12.7,,,50.8,6.35,RH,"Cutting, Copying, Panel Sizing ",3552,3552,0.06,,Enabled,"Catalog, Search",None,1. Provide Excellent Finish On The Lower Side Of The Workpiece.</br> 2. Upward Chip Ejection.,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Solid Carbide Spiral Upcut  Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,198.060.11,0,Solid Carbide Spiral Upcut  Bits,,,,198-060-11,198-060-11.html,Product Info Column,,,Italy,Use config,Use config,,198.060.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Laminated Panels , Plastic , Solidwood",No Coating,"CNC Machine , Portable Router",,,6,22,,,60,6,RH,"Cutting, Copying, Panel Sizing ",4539.9,4539.9,0.02,,Enabled,"Catalog, Search",None,1. Provide Excellent Finish On The Lower Side Of The Workpiece.</br> 2. Upward Chip Ejection.,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Solid Carbide Spiral Upcut  Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,660.350.11,0,Rabbeting Bit ,,,,660-350-11,660-350-11.html,Product Info Column,,,Italy,Use config,Use config,,660.350.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , MDF",PTFE Coated,Portable Router,,,9.5,34.9,12,,55,8,RH,Rabbeting,8103,8103,0.15,,Enabled,"Catalog, Search",None,1. Super Strength Steel.</br> 2. 1 HW Precision Insert Knife [Z2].,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Rabbeting Bit ,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,706.064.11,0,Flush Trim Bits,,,,706-064-11,706-064-11.html,Product Info Column,,,Italy,Use config,Use config,,706.064.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Solidwood",PTFE Coated,"Portable Router , Table Mounted Router",,,6.35,25.4,,,63.5,6,RH,Finishing,3885,3885,0.05,,Enabled,"Catalog, Search",None,For Precision Work On Laminates Or Quick Template Work With Excellent Finishing,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Flush Trim Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,906.095.11,0,Flush Trim Bits,,,,906-095-11,906-095-11.html,Product Info Column,,,Italy,Use config,Use config,,906.095.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Solidwood",PTFE Coated,"Portable Router , Table Mounted Router",,,9.5,25.4,,,68.2,8,RH,Finishing,3096.9,3096.9,0.06,,Enabled,"Catalog, Search",None,For Precision Work On Laminates Or Quick Template Work With Excellent Finishing,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Flush Trim Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,906.127.11,0,Flush Trim Bits,,,,906-127-11,906-127-11.html,Product Info Column,,,Italy,Use config,Use config,,906.127.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Solidwood",PTFE Coated,"Portable Router , Table Mounted Router",,,12.7,25.4,,,70.7,8,RH,Finishing,3096.9,3096.9,0.07,,Enabled,"Catalog, Search",None,For Precision Work On Laminates Or Quick Template Work With Excellent Finishing,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Flush Trim Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,906.627.11,0,Flush Trim Bits,,,,906-627-11,906-627-11.html,Product Info Column,,,Italy,Use config,Use config,,906.627.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Solidwood",PTFE Coated,"Portable Router , Table Mounted Router",,,12.7,25.4,,,86.6,12,RH,Finishing,3207.9,3207.9,0.1,,Enabled,"Catalog, Search",None,For Precision Work On Laminates Or Quick Template Work With Excellent Finishing,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Flush Trim Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,906.630.11,0,Flush Trim Bits,,,,906-630-11,906-630-11.html,Product Info Column,,,Italy,Use config,Use config,,906.630.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Solidwood",PTFE Coated,"Portable Router , Table Mounted Router",,,12.7,50.8,,,103.7,12,RH,Finishing,4517.7,4517.7,0.15,,Enabled,"Catalog, Search",None,For Precision Work On Laminates Or Quick Template Work With Excellent Finishing,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Flush Trim Bits,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,911.030.11,0,Straight Bits,,,,911-030-11,911-030-11.html,Product Info Column,,,Italy,Use config,Use config,,911.030.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,Plywood,PTFE Coated,"Portable Router , Table Mounted Router",,,3,8,,,50,12,RH,"Mortise, Tenon, Biscuit Joint, Rabbet, Right Angle Joint, Union, Tongue Joint, Groove Joint, Box Joint",2619.6,2619.6,0.06,,Enabled,"Catalog, Search",None,For Precision Work On Laminates Or Quick Template Work With Excellent Finishing,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Bits,0,simple,,,,,,,,,,
